pdb	run	capri	n	tx_acc	tx_med	tx_high	tx_near_acc
154L	run_unbound_ens_vdw_na_clust150	11_caprieval	2	0	0	0	0
154L	run_unbound_ens_vdw_na_clust150	11_caprieval	3	0	0	0	0
154L	run_unbound_ens_vdw_na_clust150	11_caprieval	4	1	0	0	1
154L	run_unbound_ens_vdw_na_clust150	11_caprieval	5	1	0	0	1
154L	run_unbound_ens_vdw_na_clust150	11_caprieval	10	1	0	0	1
154L	run_unbound_ens_vdw_na_clust150	11_caprieval	20	1	0	0	1
154L	run_unbound_ens_vdw_na_clust150	11_caprieval	30	1	0	0	1
154L	run_unbound_ens_vdw_na_clust150	11_caprieval	40	1	0	0	1
154L	run_unbound_ens_vdw_na_clust150	11_caprieval	50	1	0	0	1
154L	run_unbound_ens_vdw_na_clust150	06_caprieval	1	0	0	0	0
154L	run_unbound_ens_vdw_na_clust150	06_caprieval	2	1	0	0	1
154L	run_unbound_ens_vdw_na_clust150	06_caprieval	3	1	0	0	1
154L	run_unbound_ens_vdw_na_clust150	06_caprieval	4	1	0	0	1
154L	run_unbound_ens_vdw_na_clust150	06_caprieval	5	1	0	0	1
154L	run_unbound_ens_vdw_na_clust150	06_caprieval	10	1	0	0	1
154L	run_unbound_ens_vdw_na_clust150	06_caprieval	20	1	0	0	1
154L	run_unbound_ens_vdw_na_clust150	06_caprieval	30	1	0	0	1
154L	run_unbound_ens_vdw_na_clust150	06_caprieval	40	1	0	0	1
154L	run_unbound_ens_vdw_na_clust150	06_caprieval	50	1	0	0	1
154L	run_unbound_vdw_na_clust	11_caprieval	1	1	1	0	1
154L	run_unbound_vdw_na_clust	11_caprieval	2	1	1	0	1
154L	run_unbound_vdw_na_clust	11_caprieval	3	1	1	0	1
154L	run_unbound_vdw_na_clust	11_caprieval	4	1	1	0	1
154L	run_unbound_vdw_na_clust	11_caprieval	5	1	1	0	1
154L	run_unbound_vdw_na_clust	11_caprieval	10	1	1	0	1
154L	run_unbound_vdw_na_clust	11_caprieval	20	1	1	0	1
154L	run_unbound_vdw_na_clust	11_caprieval	30	1	1	0	1
154L	run_unbound_vdw_na_clust	11_caprieval	40	1	1	0	1
154L	run_unbound_vdw_na_clust	11_caprieval	50	1	1	0	1
154L	run_unbound_vdw_na_clust	06_caprieval	1	0	0	0	0
154L	run_unbound_vdw_na_clust	06_caprieval	2	0	0	0	0
154L	run_unbound_vdw_na_clust	06_caprieval	3	1	0	0	1
154L	run_unbound_vdw_na_clust	06_caprieval	4	1	0	0	1
154L	run_unbound_vdw_na_clust	06_caprieval	5	1	0	0	1
154L	run_unbound_vdw_na_clust	06_caprieval	10	1	0	0	1
154L	run_unbound_vdw_na_clust	06_caprieval	20	1	0	0	1
154L	run_unbound_vdw_na_clust	06_caprieval	30	1	0	0	1
154L	run_unbound_vdw_na_clust	06_caprieval	40	1	0	0	1
154L	run_unbound_vdw_na_clust	06_caprieval	50	1	0	0	1
2BOF	run_bound_default_ti	5_caprieval	1	0	0	0	1
2BOF	run_bound_default_ti	5_caprieval	2	0	0	0	1
2BOF	run_bound_default_ti	5_caprieval	3	0	0	0	1
2BOF	run_bound_default_ti	5_caprieval	4	0	0	0	1
2BOF	run_bound_default_ti	5_caprieval	5	0	0	0	1
2BOF	run_bound_default_ti	5_caprieval	10	0	0	0	2
2BOF	run_bound_default_ti	5_caprieval	20	0	0	0	2
2BOF	run_bound_default_ti	5_caprieval	30	0	0	0	2
2BOF	run_bound_default_ti	5_caprieval	40	0	0	0	2
2BOF	run_bound_default_ti	5_caprieval	50	0	0	0	2
2BOF	run_bound_vdw_na	5_caprieval	1	1	1	1	1
2BOF	run_bound_vdw_na	5_caprieval	2	1	1	1	2
2BOF	run_bound_vdw_na	5_caprieval	3	1	1	1	2
2BOF	run_bound_vdw_na	5_caprieval	4	1	1	1	2
2BOF	run_bound_vdw_na	5_caprieval	5	1	1	1	2
2BOF	run_bound_vdw_na	5_caprieval	10	1	1	1	2
2BOF	run_bound_vdw_na	5_caprieval	20	1	1	1	2
2BOF	run_bound_vdw_na	5_caprieval	30	1	1	1	2
2BOF	run_bound_vdw_na	5_caprieval	40	1	1	1	2
2BOF	run_bound_vdw_na	5_caprieval	50	1	1	1	2
2BOF	run_bound_vdw_ti	5_caprieval	1	1	1	1	1
2BOF	run_bound_vdw_ti	5_caprieval	2	1	1	1	1
2BOF	run_bound_vdw_ti	5_caprieval	3	1	1	1	1
2BOF	run_bound_vdw_ti	5_caprieval	4	1	1	1	1
2BOF	run_bound_vdw_ti	5_caprieval	5	1	1	1	1
2BOF	run_bound_vdw_ti	5_caprieval	10	1	1	1	1
2BOF	run_bound_vdw_ti	5_caprieval	20	1	1	1	1
2BOF	run_bound_vdw_ti	5_caprieval	30	1	1	1	1
2BOF	run_bound_vdw_ti	5_caprieval	40	1	1	1	1
2BOF	run_bound_vdw_ti	5_caprieval	50	1	1	1	1
2BOF	run_unbound_ens_vdw_na_clust150	06_caprieval	1	0	0	0	0
2BOF	run_unbound_ens_vdw_na_clust150	06_caprieval	2	0	0	0	1
2BOF	run_unbound_ens_vdw_na_clust150	06_caprieval	3	0	0	0	1
2BOF	run_unbound_ens_vdw_na_clust150	06_caprieval	4	0	0	0	1
2BOF	run_unbound_ens_vdw_na_clust150	06_caprieval	5	0	0	0	1
2BOF	run_unbound_ens_vdw_na_clust150	06_caprieval	10	0	0	0	1
2BOF	run_unbound_ens_vdw_na_clust150	06_caprieval	20	0	0	0	1
2BOF	run_unbound_ens_vdw_na_clust150	06_caprieval	30	0	0	0	1
2BOF	run_unbound_ens_vdw_na_clust150	06_caprieval	40	0	0	0	1
2BOF	run_unbound_ens_vdw_na_clust150	06_caprieval	50	0	0	0	1
2BOF	run_unbound_ens_vdw_na_clust150	11_caprieval	1	0	0	0	0
2BOF	run_unbound_ens_vdw_na_clust150	11_caprieval	2	0	0	0	0
2BOF	run_unbound_ens_vdw_na_clust150	11_caprieval	3	0	0	0	0
2BOF	run_unbound_ens_vdw_na_clust150	11_caprieval	4	0	0	0	1
2BOF	run_unbound_ens_vdw_na_clust150	11_caprieval	5	1	0	0	2
2BOF	run_unbound_ens_vdw_na_clust150	11_caprieval	10	1	0	0	2
2BOF	run_unbound_ens_vdw_na_clust150	11_caprieval	20	1	0	0	2
2BOF	run_unbound_ens_vdw_na_clust150	11_caprieval	30	1	0	0	2
2BOF	run_unbound_ens_vdw_na_clust150	11_caprieval	40	1	0	0	2
2BOF	run_unbound_ens_vdw_na_clust150	11_caprieval	50	1	0	0	2
2BOF	run_unbound_vdw_na_clust	11_caprieval	1	0	0	0	0
2BOF	run_unbound_vdw_na_clust	11_caprieval	2	0	0	0	0
2BOF	run_unbound_vdw_na_clust	11_caprieval	3	0	0	0	0
2BOF	run_unbound_vdw_na_clust	11_caprieval	4	0	0	0	0
2BOF	run_unbound_vdw_na_clust	11_caprieval	5	0	0	0	0
2BOF	run_unbound_vdw_na_clust	11_caprieval	10	0	0	0	0
2BOF	run_unbound_vdw_na_clust	11_caprieval	20	0	0	0	0
2BOF	run_unbound_vdw_na_clust	11_caprieval	30	0	0	0	0
2BOF	run_unbound_vdw_na_clust	11_caprieval	40	0	0	0	0
2BOF	run_unbound_vdw_na_clust	11_caprieval	50	0	0	0	0
2BOF	run_unbound_vdw_na_clust	06_caprieval	1	0	0	0	0
2BOF	run_unbound_vdw_na_clust	06_caprieval	2	0	0	0	0
2BOF	run_unbound_vdw_na_clust	06_caprieval	3	0	0	0	0
2BOF	run_unbound_vdw_na_clust	06_caprieval	4	0	0	0	0
2BOF	run_unbound_vdw_na_clust	06_caprieval	5	0	0	0	0
2BOF	run_unbound_vdw_na_clust	06_caprieval	10	0	0	0	0
2BOF	run_unbound_vdw_na_clust	06_caprieval	20	0	0	0	0
2BOF	run_unbound_vdw_na_clust	06_caprieval	30	0	0	0	0
2BOF	run_unbound_vdw_na_clust	06_caprieval	40	0	0	0	0
2BOF	run_unbound_vdw_na_clust	06_caprieval	50	0	0	0	0
2J72	run_bound_default_ti	5_caprieval	1	0	0	0	0
2J72	run_bound_default_ti	5_caprieval	2	0	0	0	0
2J72	run_bound_default_ti	5_caprieval	3	0	0	0	0
2J72	run_bound_default_ti	5_caprieval	4	0	0	0	0
2J72	run_bound_default_ti	5_caprieval	5	1	1	0	1
2J72	run_bound_default_ti	5_caprieval	10	1	1	0	1
2J72	run_bound_default_ti	5_caprieval	20	1	1	0	1
2J72	run_bound_default_ti	5_caprieval	30	1	1	0	2
2J72	run_bound_default_ti	5_caprieval	40	1	1	0	2
2J72	run_bound_default_ti	5_caprieval	50	1	1	0	2
2J72	run_bound_vdw_na	5_caprieval	1	1	1	1	1
2J72	run_bound_vdw_na	5_caprieval	2	1	1	1	1
2J72	run_bound_vdw_na	5_caprieval	3	1	1	1	1
2J72	run_bound_vdw_na	5_caprieval	4	1	1	1	1
2J72	run_bound_vdw_na	5_caprieval	5	1	1	1	1
2J72	run_bound_vdw_na	5_caprieval	10	1	1	1	1
2J72	run_bound_vdw_na	5_caprieval	20	1	1	1	1
2J72	run_bound_vdw_na	5_caprieval	30	1	1	1	1
2J72	run_bound_vdw_na	5_caprieval	40	1	1	1	1
2J72	run_bound_vdw_na	5_caprieval	50	1	1	1	1
2J72	run_bound_vdw_ti	5_caprieval	1	1	1	1	1
2J72	run_bound_vdw_ti	5_caprieval	2	1	1	1	1
2J72	run_bound_vdw_ti	5_caprieval	3	1	1	1	1
2J72	run_bound_vdw_ti	5_caprieval	4	1	1	1	1
2J72	run_bound_vdw_ti	5_caprieval	5	1	1	1	1
2J72	run_bound_vdw_ti	5_caprieval	10	1	1	1	1
2J72	run_bound_vdw_ti	5_caprieval	20	1	1	1	1
2J72	run_bound_vdw_ti	5_caprieval	30	1	1	1	1
2J72	run_bound_vdw_ti	5_caprieval	40	1	1	1	1
2J72	run_bound_vdw_ti	5_caprieval	50	1	1	1	1
2J72	run_unbound_ens_vdw_na_clust150	11_caprieval	1	0	0	0	1
2J72	run_unbound_ens_vdw_na_clust150	11_caprieval	2	0	0	0	1
2J72	run_unbound_ens_vdw_na_clust150	11_caprieval	3	0	0	0	1
2J72	run_unbound_ens_vdw_na_clust150	11_caprieval	4	0	0	0	2
2J72	run_unbound_ens_vdw_na_clust150	11_caprieval	5	0	0	0	2
2J72	run_unbound_ens_vdw_na_clust150	11_caprieval	10	0	0	0	2
2J72	run_unbound_ens_vdw_na_clust150	11_caprieval	20	0	0	0	2
2J72	run_unbound_ens_vdw_na_clust150	11_caprieval	30	0	0	0	2
2J72	run_unbound_ens_vdw_na_clust150	11_caprieval	40	0	0	0	2
2J72	run_unbound_ens_vdw_na_clust150	11_caprieval	50	0	0	0	2
2J72	run_unbound_ens_vdw_na_clust150	06_caprieval	1	0	0	0	0
2J72	run_unbound_ens_vdw_na_clust150	06_caprieval	2	0	0	0	1
2J72	run_unbound_ens_vdw_na_clust150	06_caprieval	3	0	0	0	1
2J72	run_unbound_ens_vdw_na_clust150	06_caprieval	4	0	0	0	1
2J72	run_unbound_ens_vdw_na_clust150	06_caprieval	5	0	0	0	1
2J72	run_unbound_ens_vdw_na_clust150	06_caprieval	10	0	0	0	2
2J72	run_unbound_ens_vdw_na_clust150	06_caprieval	20	1	0	0	3
2J72	run_unbound_ens_vdw_na_clust150	06_caprieval	30	1	0	0	3
2J72	run_unbound_ens_vdw_na_clust150	06_caprieval	40	1	0	0	3
2J72	run_unbound_ens_vdw_na_clust150	06_caprieval	50	1	0	0	3
2J72	run_unbound_vdw_na_clust	11_caprieval	1	0	0	0	0
2J72	run_unbound_vdw_na_clust	11_caprieval	2	0	0	0	0
2J72	run_unbound_vdw_na_clust	11_caprieval	3	1	0	0	1
2J72	run_unbound_vdw_na_clust	11_caprieval	4	1	0	0	1
2J72	run_unbound_vdw_na_clust	11_caprieval	5	1	0	0	1
2J72	run_unbound_vdw_na_clust	11_caprieval	10	1	0	0	1
2J72	run_unbound_vdw_na_clust	11_caprieval	20	1	0	0	1
2J72	run_unbound_vdw_na_clust	11_caprieval	30	1	0	0	1
2J72	run_unbound_vdw_na_clust	11_caprieval	40	1	0	0	1
2J72	run_unbound_vdw_na_clust	11_caprieval	50	1	0	0	1
2J72	run_unbound_vdw_na_clust	06_caprieval	1	0	0	0	0
2J72	run_unbound_vdw_na_clust	06_caprieval	2	0	0	0	0
2J72	run_unbound_vdw_na_clust	06_caprieval	3	1	0	0	1
2J72	run_unbound_vdw_na_clust	06_caprieval	4	1	0	0	2
2J72	run_unbound_vdw_na_clust	06_caprieval	5	1	0	0	2
2J72	run_unbound_vdw_na_clust	06_caprieval	10	1	0	0	2
2J72	run_unbound_vdw_na_clust	06_caprieval	20	1	0	0	2
2J72	run_unbound_vdw_na_clust	06_caprieval	30	1	0	0	2
2J72	run_unbound_vdw_na_clust	06_caprieval	40	1	0	0	2
2J72	run_unbound_vdw_na_clust	06_caprieval	50	1	0	0	2
4HK8	run_bound_default_ti	5_caprieval	1	0	0	0	0
4HK8	run_bound_default_ti	5_caprieval	2	0	0	0	0
4HK8	run_bound_default_ti	5_caprieval	3	0	0	0	0
4HK8	run_bound_default_ti	5_caprieval	4	0	0	0	0
4HK8	run_bound_default_ti	5_caprieval	5	0	0	0	0
4HK8	run_bound_default_ti	5_caprieval	10	0	0	0	0
4HK8	run_bound_default_ti	5_caprieval	20	0	0	0	0
4HK8	run_bound_default_ti	5_caprieval	30	0	0	0	0
4HK8	run_bound_default_ti	5_caprieval	40	0	0	0	0
4HK8	run_bound_default_ti	5_caprieval	50	0	0	0	0
4HK8	run_bound_vdw_na	5_caprieval	1	0	0	0	0
4HK8	run_bound_vdw_na	5_caprieval	2	0	0	0	0
4HK8	run_bound_vdw_na	5_caprieval	3	0	0	0	0
4HK8	run_bound_vdw_na	5_caprieval	4	0	0	0	0
4HK8	run_bound_vdw_na	5_caprieval	5	0	0	0	0
4HK8	run_bound_vdw_na	5_caprieval	10	0	0	0	0
4HK8	run_bound_vdw_na	5_caprieval	20	0	0	0	0
4HK8	run_bound_vdw_na	5_caprieval	30	0	0	0	0
4HK8	run_bound_vdw_na	5_caprieval	40	0	0	0	0
4HK8	run_bound_vdw_na	5_caprieval	50	0	0	0	0
4HK8	run_bound_vdw_ti	5_caprieval	1	0	0	0	0
4HK8	run_bound_vdw_ti	5_caprieval	2	0	0	0	0
4HK8	run_bound_vdw_ti	5_caprieval	3	0	0	0	0
4HK8	run_bound_vdw_ti	5_caprieval	4	0	0	0	0
4HK8	run_bound_vdw_ti	5_caprieval	5	0	0	0	0
4HK8	run_bound_vdw_ti	5_caprieval	10	0	0	0	0
4HK8	run_bound_vdw_ti	5_caprieval	20	0	0	0	0
4HK8	run_bound_vdw_ti	5_caprieval	30	0	0	0	0
4HK8	run_bound_vdw_ti	5_caprieval	40	0	0	0	0
4HK8	run_bound_vdw_ti	5_caprieval	50	0	0	0	0
4HK8	run_unbound_ens_vdw_na_clust150	06_caprieval	1	0	0	0	0
4HK8	run_unbound_ens_vdw_na_clust150	06_caprieval	2	0	0	0	0
4HK8	run_unbound_ens_vdw_na_clust150	06_caprieval	3	0	0	0	0
4HK8	run_unbound_ens_vdw_na_clust150	06_caprieval	4	0	0	0	0
4HK8	run_unbound_ens_vdw_na_clust150	06_caprieval	5	0	0	0	0
4HK8	run_unbound_ens_vdw_na_clust150	06_caprieval	10	0	0	0	0
4HK8	run_unbound_ens_vdw_na_clust150	06_caprieval	20	0	0	0	0
4HK8	run_unbound_ens_vdw_na_clust150	06_caprieval	30	0	0	0	0
4HK8	run_unbound_ens_vdw_na_clust150	06_caprieval	40	0	0	0	0
4HK8	run_unbound_ens_vdw_na_clust150	06_caprieval	50	0	0	0	0
4HK8	run_unbound_ens_vdw_na_clust150	11_caprieval	1	0	0	0	0
4HK8	run_unbound_ens_vdw_na_clust150	11_caprieval	2	0	0	0	0
4HK8	run_unbound_ens_vdw_na_clust150	11_caprieval	3	0	0	0	0
4HK8	run_unbound_ens_vdw_na_clust150	11_caprieval	4	0	0	0	0
4HK8	run_unbound_ens_vdw_na_clust150	11_caprieval	5	0	0	0	0
4HK8	run_unbound_ens_vdw_na_clust150	11_caprieval	10	0	0	0	1
4HK8	run_unbound_ens_vdw_na_clust150	11_caprieval	20	0	0	0	1
4HK8	run_unbound_ens_vdw_na_clust150	11_caprieval	30	0	0	0	1
4HK8	run_unbound_ens_vdw_na_clust150	11_caprieval	40	0	0	0	1
4HK8	run_unbound_ens_vdw_na_clust150	11_caprieval	50	0	0	0	1
4HK8	run_unbound_vdw_na_clust	11_caprieval	1	0	0	0	0
4HK8	run_unbound_vdw_na_clust	11_caprieval	2	0	0	0	0
4HK8	run_unbound_vdw_na_clust	11_caprieval	3	0	0	0	0
4HK8	run_unbound_vdw_na_clust	11_caprieval	4	0	0	0	0
4HK8	run_unbound_vdw_na_clust	11_caprieval	5	0	0	0	0
4HK8	run_unbound_vdw_na_clust	11_caprieval	10	0	0	0	0
4HK8	run_unbound_vdw_na_clust	11_caprieval	20	0	0	0	0
4HK8	run_unbound_vdw_na_clust	11_caprieval	30	0	0	0	0
4HK8	run_unbound_vdw_na_clust	11_caprieval	40	0	0	0	0
4HK8	run_unbound_vdw_na_clust	11_caprieval	50	0	0	0	0
4HK8	run_unbound_vdw_na_clust	06_caprieval	1	0	0	0	0
4HK8	run_unbound_vdw_na_clust	06_caprieval	2	0	0	0	0
4HK8	run_unbound_vdw_na_clust	06_caprieval	3	0	0	0	0
4HK8	run_unbound_vdw_na_clust	06_caprieval	4	0	0	0	0
4HK8	run_unbound_vdw_na_clust	06_caprieval	5	0	0	0	0
4HK8	run_unbound_vdw_na_clust	06_caprieval	10	0	0	0	0
4HK8	run_unbound_vdw_na_clust	06_caprieval	20	0	0	0	0
4HK8	run_unbound_vdw_na_clust	06_caprieval	30	0	0	0	0
4HK8	run_unbound_vdw_na_clust	06_caprieval	40	0	0	0	0
4HK8	run_unbound_vdw_na_clust	06_caprieval	50	0	0	0	0
2ZEX	run_bound_default_ti	5_caprieval	1	0	0	0	0
2ZEX	run_bound_default_ti	5_caprieval	2	0	0	0	0
2ZEX	run_bound_default_ti	5_caprieval	3	0	0	0	0
2ZEX	run_bound_default_ti	5_caprieval	4	0	0	0	0
2ZEX	run_bound_default_ti	5_caprieval	5	0	0	0	0
2ZEX	run_bound_default_ti	5_caprieval	10	1	1	1	2
2ZEX	run_bound_default_ti	5_caprieval	20	1	1	1	2
2ZEX	run_bound_default_ti	5_caprieval	30	1	1	1	2
2ZEX	run_bound_default_ti	5_caprieval	40	1	1	1	2
2ZEX	run_bound_default_ti	5_caprieval	50	1	1	1	2
2ZEX	run_bound_vdw_na	5_caprieval	1	1	1	1	1
2ZEX	run_bound_vdw_na	5_caprieval	2	1	1	1	1
2ZEX	run_bound_vdw_na	5_caprieval	3	1	1	1	2
2ZEX	run_bound_vdw_na	5_caprieval	4	1	1	1	2
2ZEX	run_bound_vdw_na	5_caprieval	5	1	1	1	2
2ZEX	run_bound_vdw_na	5_caprieval	10	1	1	1	2
2ZEX	run_bound_vdw_na	5_caprieval	20	1	1	1	2
2ZEX	run_bound_vdw_na	5_caprieval	30	1	1	1	2
2ZEX	run_bound_vdw_na	5_caprieval	40	1	1	1	2
2ZEX	run_bound_vdw_na	5_caprieval	50	1	1	1	2
2ZEX	run_bound_vdw_ti	5_caprieval	1	1	1	1	1
2ZEX	run_bound_vdw_ti	5_caprieval	2	1	1	1	1
2ZEX	run_bound_vdw_ti	5_caprieval	3	1	1	1	2
2ZEX	run_bound_vdw_ti	5_caprieval	4	1	1	1	2
2ZEX	run_bound_vdw_ti	5_caprieval	5	1	1	1	2
2ZEX	run_bound_vdw_ti	5_caprieval	10	1	1	1	3
2ZEX	run_bound_vdw_ti	5_caprieval	20	1	1	1	3
2ZEX	run_bound_vdw_ti	5_caprieval	30	1	1	1	3
2ZEX	run_bound_vdw_ti	5_caprieval	40	1	1	1	3
2ZEX	run_bound_vdw_ti	5_caprieval	50	1	1	1	3
2ZEX	run_unbound_ens_vdw_na_clust150	11_caprieval	1	1	0	0	1
2ZEX	run_unbound_ens_vdw_na_clust150	11_caprieval	2	1	0	0	1
2ZEX	run_unbound_ens_vdw_na_clust150	11_caprieval	3	1	0	0	1
2ZEX	run_unbound_ens_vdw_na_clust150	11_caprieval	4	1	0	0	2
2ZEX	run_unbound_ens_vdw_na_clust150	11_caprieval	5	1	0	0	2
2ZEX	run_unbound_ens_vdw_na_clust150	11_caprieval	10	1	0	0	2
2ZEX	run_unbound_ens_vdw_na_clust150	11_caprieval	20	1	0	0	2
2ZEX	run_unbound_ens_vdw_na_clust150	11_caprieval	30	1	0	0	2
2ZEX	run_unbound_ens_vdw_na_clust150	11_caprieval	40	1	0	0	2
2ZEX	run_unbound_ens_vdw_na_clust150	11_caprieval	50	1	0	0	2
2ZEX	run_unbound_ens_vdw_na_clust150	06_caprieval	1	0	0	0	0
2ZEX	run_unbound_ens_vdw_na_clust150	06_caprieval	2	0	0	0	0
2ZEX	run_unbound_ens_vdw_na_clust150	06_caprieval	3	0	0	0	0
2ZEX	run_unbound_ens_vdw_na_clust150	06_caprieval	4	0	0	0	0
2ZEX	run_unbound_ens_vdw_na_clust150	06_caprieval	5	0	0	0	0
2ZEX	run_unbound_ens_vdw_na_clust150	06_caprieval	10	1	0	0	2
2ZEX	run_unbound_ens_vdw_na_clust150	06_caprieval	20	1	0	0	3
2ZEX	run_unbound_ens_vdw_na_clust150	06_caprieval	30	1	0	0	3
2ZEX	run_unbound_ens_vdw_na_clust150	06_caprieval	40	1	0	0	3
2ZEX	run_unbound_ens_vdw_na_clust150	06_caprieval	50	1	0	0	3
2ZEX	run_unbound_vdw_na_clust	06_caprieval	1	0	0	0	0
2ZEX	run_unbound_vdw_na_clust	06_caprieval	2	0	0	0	0
2ZEX	run_unbound_vdw_na_clust	06_caprieval	3	0	0	0	1
2ZEX	run_unbound_vdw_na_clust	06_caprieval	4	0	0	0	1
2ZEX	run_unbound_vdw_na_clust	06_caprieval	5	0	0	0	1
2ZEX	run_unbound_vdw_na_clust	06_caprieval	10	0	0	0	1
2ZEX	run_unbound_vdw_na_clust	06_caprieval	20	0	0	0	1
2ZEX	run_unbound_vdw_na_clust	06_caprieval	30	0	0	0	1
2ZEX	run_unbound_vdw_na_clust	06_caprieval	40	0	0	0	1
2ZEX	run_unbound_vdw_na_clust	06_caprieval	50	0	0	0	1
2ZEX	run_unbound_vdw_na_clust	11_caprieval	1	0	0	0	0
2ZEX	run_unbound_vdw_na_clust	11_caprieval	2	0	0	0	0
2ZEX	run_unbound_vdw_na_clust	11_caprieval	3	0	0	0	0
2ZEX	run_unbound_vdw_na_clust	11_caprieval	4	0	0	0	0
2ZEX	run_unbound_vdw_na_clust	11_caprieval	5	0	0	0	0
2ZEX	run_unbound_vdw_na_clust	11_caprieval	10	0	0	0	1
2ZEX	run_unbound_vdw_na_clust	11_caprieval	20	0	0	0	1
2ZEX	run_unbound_vdw_na_clust	11_caprieval	30	0	0	0	1
2ZEX	run_unbound_vdw_na_clust	11_caprieval	40	0	0	0	1
2ZEX	run_unbound_vdw_na_clust	11_caprieval	50	0	0	0	1
4YFZ	run_bound_default_ti	5_caprieval	1	0	0	0	0
4YFZ	run_bound_default_ti	5_caprieval	2	0	0	0	0
4YFZ	run_bound_default_ti	5_caprieval	3	0	0	0	0
4YFZ	run_bound_default_ti	5_caprieval	4	0	0	0	0
4YFZ	run_bound_default_ti	5_caprieval	5	0	0	0	0
4YFZ	run_bound_default_ti	5_caprieval	10	0	0	0	0
4YFZ	run_bound_default_ti	5_caprieval	20	0	0	0	0
4YFZ	run_bound_default_ti	5_caprieval	30	0	0	0	0
4YFZ	run_bound_default_ti	5_caprieval	40	0	0	0	0
4YFZ	run_bound_default_ti	5_caprieval	50	0	0	0	0
4YFZ	run_bound_vdw_na	5_caprieval	1	0	0	0	0
4YFZ	run_bound_vdw_na	5_caprieval	2	0	0	0	0
4YFZ	run_bound_vdw_na	5_caprieval	3	0	0	0	0
4YFZ	run_bound_vdw_na	5_caprieval	4	0	0	0	0
4YFZ	run_bound_vdw_na	5_caprieval	5	0	0	0	0
4YFZ	run_bound_vdw_na	5_caprieval	10	0	0	0	0
4YFZ	run_bound_vdw_na	5_caprieval	20	1	1	1	1
4YFZ	run_bound_vdw_na	5_caprieval	30	1	1	1	1
4YFZ	run_bound_vdw_na	5_caprieval	40	1	1	1	1
4YFZ	run_bound_vdw_na	5_caprieval	50	1	1	1	1
4YFZ	run_bound_vdw_ti	5_caprieval	1	0	0	0	0
4YFZ	run_bound_vdw_ti	5_caprieval	2	0	0	0	0
4YFZ	run_bound_vdw_ti	5_caprieval	3	0	0	0	0
4YFZ	run_bound_vdw_ti	5_caprieval	4	0	0	0	0
4YFZ	run_bound_vdw_ti	5_caprieval	5	0	0	0	0
4YFZ	run_bound_vdw_ti	5_caprieval	10	1	1	1	1
4YFZ	run_bound_vdw_ti	5_caprieval	20	1	1	1	1
4YFZ	run_bound_vdw_ti	5_caprieval	30	1	1	1	1
4YFZ	run_bound_vdw_ti	5_caprieval	40	1	1	1	1
4YFZ	run_bound_vdw_ti	5_caprieval	50	1	1	1	1
4YFZ	run_unbound_ens_vdw_na_clust150	11_caprieval	1	0	0	0	0
4YFZ	run_unbound_ens_vdw_na_clust150	11_caprieval	2	0	0	0	0
4YFZ	run_unbound_ens_vdw_na_clust150	11_caprieval	3	0	0	0	0
4YFZ	run_unbound_ens_vdw_na_clust150	11_caprieval	4	0	0	0	0
4YFZ	run_unbound_ens_vdw_na_clust150	11_caprieval	5	0	0	0	0
4YFZ	run_unbound_ens_vdw_na_clust150	11_caprieval	10	0	0	0	2
4YFZ	run_unbound_ens_vdw_na_clust150	11_caprieval	20	1	0	0	3
